2017/01/01,松山,PM2.5,8,6,11,7,3,3,7,11,9,10,8,14,8,15,7,12,6,5,5,9,14,12,7,7
2017/01/02,松山,PM2.5,12,13,7,5,2,7,7,14,14,23*,19,20,19,30,38,28,16,13,15,22,19,20,21,16
2017/01/03,松山,PM2.5,14,7,10,6,2,5,3,8,8,12,12,12,11,10,8,9,11,14,14,14,9,10,11,10
2017/01/04,松山,PM2.5,10,9,14,10,7,6,10,13,14,14,10,9,6,4,8,7,9,1,3,4,4,4,7,10
2017/01/05,松山,PM2.5,12,12,11,11,10,8,2,2,6,12,24,34,50,54,-3#,54,51,54,52,49,50,56,55,54
2017/01/06,松山,PM2.5,50,52,51,43,48,53,60,54,49,56,51,44,28,34,18,18,28,25,17,14,13,7,8,5
2017/01/07,松山,PM2.5,12,4,9,9,7,7,7,13,10,4,6,13,19,29,37,46,45,36,28,27,32,36,40,40
2017/01/08,松山,PM2.5,37,33,30,22,20,22,28,29,27,27,17,10,1,2,2,2,2,8,9,11,8,9,14,14
2017/01/09,松山,PM2.5,15,14,18,27,19,18,12,22*,18,19,14,19,20,19,15,17,25,32,39,35,27,25,27,29
2017/01/10,松山,PM2.5,35,33,27,20,23,27,30,25,31,24,30,31,33,34,29,38,32,37,32,37,40,39,36,41
2017/01/11,松山,PM2.5,44,45,38,40,38,38,34,33,30,31,-3#,-3#,27,22,23,19,23,26,25,25,19,23,17,18
2017/01/12,松山,PM2.5,20,21,23,19,22,14,8,4,12,14,10,6,12,12,10,2,13,7,13,2,5,5,7,7
2017/01/13,松山,PM2.5,9,6,4,1,14,13,15,10,10,17*,,6,11,2,2,100*,98*,121*,24*,30*,17,22,17,17
2017/01/14,松山,PM2.5,18,26,26,34,38,37,33,29,24,21,17,25,21,27,29,27,27,25,28,27,28,26,17,14
2017/01/15,松山,PM2.5,12,14,12,10,14,14,14,5,11,9,24,11,19,6,11,5,9,10,10,6,2,7,12,13
2017/01/16,松山,PM2.5,8,8,5,2,1,4,8,14,8,10,9,12,12,13,14,11,5,6,13,13,14,10,14,10
2017/01/17,松山,PM2.5,13,9,8,9,14,14,12,8,10,11,12,11,11,15,9,11,8,8,10,17,20,13,1,1
2017/01/18,松山,PM2.5,6,11,20,14,16,17,16,19,11,18,-3#,25,22,19,14,14,15,15,19,13,16,5,10,8
2017/01/19,松山,PM2.5,9,11,11,10,7,9,9,11,8,8,1,3,6,7,4,6,11,8,10,8,11,14,10,11
2017/01/20,松山,PM2.5,2,2,3,2,6,11,10,8,6,11,14,7,11,19,30,34,42,43,47,39,29,28,33,43
2017/01/21,松山,PM2.5,32,23,9,9,9,12,6,8,4,12,11,17,11,14,14,18,13,6,11,11,11,6,11,16
2017/01/22,松山,PM2.5,13,7,2,8,12,16,21,14,16,9,14,11,14,14,19,25,25,25,22,24,24,24,17,12
2017/01/23,松山,PM2.5,14,18,23,14,18,14,18,24,29,27,20,18,24,-3#,14,23,30,34,28,30,27,29,18,17
2017/01/24,松山,PM2.5,14,12,11,14,14,15,17,14,13,7,12,8,12,11,13,15,20,15,19,9,7,8,6,3
2017/01/25,松山,PM2.5,3,4,14,8,7,8,7,14,8,15,10,8,1,1,1,4,15,23,21,16,18,18,17,11
2017/01/26,松山,PM2.5,11,18,19,24,14,19*,19,15,16,14,15,11,16,14,23,20,23,21,14,18,18,14,9,2
2017/01/27,松山,PM2.5,16,24,27,15,7,13,14,14,13,13,14,18,14,11,6,8,5,9,13,19,15,13,15,13
2017/01/28,松山,PM2.5,14,14,14,14,10,2,1,2,5,10,16,19,20,23,18,21*,13,15,9,6,8,11,12,15
2017/01/29,松山,PM2.5,14,16,16,18,21,14,20,27,41,40,38,41,44,51,42,39,33,26,27,31,40,49,53,45
2017/01/30,松山,PM2.5,35,31,29,25,17,13,15,19,32,48,44,30,8,4,4,7,6,9,10,10,14,14,16,13
2017/01/31,松山,PM2.5,19,19,20,8,10,12,11,11,9,15,10,12,3,9,7,7,9,9,14,9,11,9,14,10
2017/02/01,松山,PM2.5,10,3,4,1,2,1,3,7,10,10,5,5,13,13,12,9,11,8,9,8,10,6,9,5
2017/02/02,松山,PM2.5,10,5,10,1,6,7,6,4,10,14,22,18,-3#,40,35,36,28,27,26,28,23,18,14,13
2017/02/03,松山,PM2.5,6,1,2,3,3,6,6,13,12,14,8,3,7,5,11,5,11,9,11,10,10,14,15,18
2017/02/04,松山,PM2.5,16,16,14,11,10,7,11,8,14,7,11,18,33,30,23,11,21,27,35,30,29,28,28,27
2017/02/05,松山,PM2.5,30,34,37,31,23,18,23,26,27,27,27,27,24,17,17,10,16,14,17,14,14,20,24,24
2017/02/06,松山,PM2.5,24,24,31,26,23,17,24,33,34,46,48,58,44,-3#,40,27,32,27,39,37,42,40,40,41
2017/02/07,松山,PM2.5,42,54,55,57,36,27,17,14,11,10,10,9,13,14,14,5,9,9,14,14,14,9,10,8
2017/02/08,松山,PM2.5,14,11,13,9,7,10,8,13,8,11,17,22,24,20,20,19,14,13,14,22,29,26,19,6
2017/02/09,松山,PM2.5,12,5,10,2,2,1,1,1,2,7,7,6,5,11,14,18,26,36,45,43,45,35,30,32
2017/02/10,松山,PM2.5,43,41,35,27,37,37,35,37,40,-3#,-3#,-3#,-3#,-3#,41,44,48,55,60,61,53,40,31,24
2017/02/11,松山,PM2.5,20,16,19,24,21,20,20,24,21,23,20,16,16,16,22,20,19,23,20,26,23,16,19,15
2017/02/12,松山,PM2.5,27,16,19,18,16,15,14,15,14,13,13,17,21,19,14,8,6,6,6,12,8,9,5,6
2017/02/13,松山,PM2.5,8,5,15,14,19,13,14,14,13,8,12,16,26,22,22,19,16,15,14,18,21,23,23,20
2017/02/14,松山,PM2.5,24,15,22,16,21,14,13,12,18,24,25,22,13,17,17,23,17,16,14,17,14,6,11,7
2017/02/15,松山,PM2.5,13,9,11,7,4,4,3,5,8,10,7,7,5,5,5,6,7,5,8,5,9,7,9,9
2017/02/16,松山,PM2.5,9,13,7,8,2,6,1,20,15,18,16,41,-3#,38,40,41,42,33,34,27,38,30,31,26
2017/02/17,松山,PM2.5,19,15,15,27,21,23,22,31,25,35,43,41,9,14,15,27,27,37,22,21,17,18,14,14
2017/02/18,松山,PM2.5,17,27,21,24,18,27,30,39,43,43,40,40,36,36,37,37,30,28,28,38,31,29,15,24
2017/02/19,松山,PM2.5,16,23,19,27,27,27,27,28,24,21,12,19,21,27,20,21,22,22,24,23,,,,37
2017/02/20,松山,PM2.5,29,26,29,19,20,30,41,50,48,40,34,27,25,-3#,18,23,24,32,27,30,21,24,29,24
2017/02/21,松山,PM2.5,26,18,24,25,22,27,22,20,12,15,16,19,16,5,4,5,11,11,14,9,11,7,5,1
2017/02/22,松山,PM2.5,3,13,18,26,29,27,25,19,19,24,32,34,33,25,23,18,15,11,11,14,16,16,15,12
2017/02/23,松山,PM2.5,14,15,15,12,6,2,1,4,4,4,1,8,10,14,9,12,7,6,4,5,3,6,7,18*
2017/02/24,松山,PM2.5,17*,15,8,2,5,3,8,9,9,8,,3,1,1,4,7,8,7,14,13,11,3,1,4
2017/02/25,松山,PM2.5,1,1,3,3,9,2,3,1,4,3,3,2,10,8,5,4,7,7,5,6,5,1,1,6
2017/02/26,松山,PM2.5,6,3,1,1,2,5,12,9,7,1,2,2,6,3,4,8,17,24,23,20,21,19,16,17
2017/02/27,松山,PM2.5,18,22,22,30,32,31,32,34,34,28,30,34,40,34,32,31,34,42,46,57,54,49,42,44
2017/02/28,松山,PM2.5,51,53,55,65,68,70,54,46,33,24,14,14,15,19,18,15,14,14,17,14,14,11,12,13
2017/03/01,松山,PM2.5,21,16,17,13,15,17,20*,27*,19,14,11,12,16,20,21,27,27,31,21,19,21,24,27,27
2017/03/02,松山,PM2.5,31,27,29,32,36,37,33,31,34,31,39,32,31,25,27,24,24,24,29,36,37,35,31,22
2017/03/03,松山,PM2.5,22,14,19,14,14,11,11,12,14,13,13,6,4,4,8,18,18,15,14,14,18,17,21,22
2017/03/04,松山,PM2.5,19,22,19,13,14,13,13,9,15,25,23,20,24,32,40,40,40,36,33,32,32,29,32,28
2017/03/05,松山,PM2.5,24,16,22,27,22,17,13,18*,20*,26*,30,33,50,57,56,51,44,40,38,39,54,52,52,43
2017/03/06,松山,PM2.5,47,40,35,18,14,7,8,8,6,5,5,8,15,12,16,17,25,25,29,38,53,59,64,66
2017/03/07,松山,PM2.5,53,42,22,23,12,16,14,25,23,25,22,17,14,14,14,14,19,21,24,17,28,29,32,34
2017/03/08,松山,PM2.5,40,43*,39,27,30,30,36,30,32,37,37,38,28,-3#,19,21,21,14,14,21,21,27,24,42
2017/03/09,松山,PM2.5,40,44,32,33,32,35,36,30,37,27,32,26,32,16,14,19,23,27,32,27,24,22,20,14
2017/03/10,松山,PM2.5,11,10,14,11,13,14,12,13,8,15,8,9,6,5,10,7,14,8,9,7,7,11,6,4
2017/03/11,松山,PM2.5,3,3,5,1,5,4,11,8,6,5,8,17,11,13,16,19,14,4,4,9,7,8,4,5
2017/03/12,松山,PM2.5,2,6,5,6,6,10,8,10,14,16,27,28,30*,18*,6,18,24,38,42,46,49,42,38,33
2017/03/13,松山,PM2.5,32,34,38,36,39,35,36,32,37,32,26,16,9,14,14,17,11,7,7,10,10,8,5,9
2017/03/14,松山,PM2.5,6,7,5,7,5,2,1,5,14,14,17,15,20,17,15,28,27,29,14,13,11,17,14,10
2017/03/15,松山,PM2.5,6,6,11,12,16,13,11,18,22,23,17,9,11,7,7,2,9,13,15,14,9,10,11,13
2017/03/16,松山,PM2.5,12,9,12,8,9,11,8,5,5,9,7,15,19,-3#,28,20,19,12,6,4,5,13,8,2484#
2017/03/17,松山,PM2.5,5576#,8676#,9296#,9296#,9296#,6196#,6196#,6196#,6196#,6196#,,,,,-3#,-3#,16,10,3,6,6,9,7,7
2017/03/18,松山,PM2.5,9,3,9,12,16*,17*,18,22,27,27,24,20,22,26*,26,35,45,39,30,27*,18,15,18,17
2017/03/19,松山,PM2.5,14,11,12,9,6,5,9,3,6,7,13,7,5,3,6,8,4,11,15,19*,15,7,10,5
2017/03/20,松山,PM2.5,14,8,13,11,16,16,19,20,22,25,23*,25*,31,40,47,47,56,61,60,55,41,40,35,39
2017/03/21,松山,PM2.5,31,30,30,35,33,28,19,14,13,19,21,23,19,-3#,14,6,14,12,16,20,25,26,21,21
2017/03/22,松山,PM2.5,22,18x,14,12,9,9,7,15,20,16,14,10,17x,11,6,13,10,12,14,16,24,23,22,14
2017/03/23,松山,PM2.5,11,6,4,3,7,11,12,14,12,25x,18,22x,13,16,14,8,11,10,9,7,7,14,17*,16*
2017/03/24,松山,PM2.5,13,14,16,16,17*,11,8,10,15,15,10,13,14,12,12,13,17,16,14,15,18*,22*,16,15
2017/03/25,松山,PM2.5,17,15,16,19,19*,16*,12,7,8,2,9,7,8,11,9,17*,8,15,12,19,12,12,6,12
2017/03/26,松山,PM2.5,11,12,14,19,24,31,29,35,33,41,39,39,38,42,42,41,45,49,40,31,31,39,42,40
2017/03/27,松山,PM2.5,40,38,34,35,38,36,31,29,34,35,32,30,28,27,29,27,28,23,31,33,38,34,30,26
2017/03/28,松山,PM2.5,28,29,29,24,27,27,32,25,24,23,28,36,30,-3#,37,31,30,28,40,36,40,29,34,30
2017/03/29,松山,PM2.5,36,37,35,28,25,26,20,26,25,39,44,65,59,27,31,48,48,43,40,33,35,33,35,33
2017/03/30,松山,PM2.5,31,32,23,25,18,21,14,21,31,33,36,32,39,43,37,39,30,40,44,46,44,43,45,51
2017/03/31,松山,PM2.5,43,42,39,35,32,27,27,29,35,40,43,42,37,20,14,7,5,3,4,6,3,3,4,15
2017/04/01,松山,PM2.5,12,14,14,25,31,34,34,27,21,22,33,32,41,47,59,52,41,41,41,42,35,35,34,29
2017/04/02,松山,PM2.5,33,34,35,34,29,36,33,36,33,37,40,36,34,31,42,37,41,31,35,38,41,43,45,48
2017/04/03,松山,PM2.5,46,43,46,40,36,30,37,28,27,22,17,10,12,14,21*,15,16,23,19,22,14,17,19,20
2017/04/04,松山,PM2.5,26,21,20,20,16,22,16,21,18,22,21,17,19,20,24,22,21,19,24,18,18,17,18,15
2017/04/05,松山,PM2.5,14,16,18,18,21,23*,21*,24,19,25,20,23,17,19,24,20,21,24,21,16,11,7,10,11
2017/04/06,松山,PM2.5,19,15,9,2,5,13,14,19*,18,27,-3#,50*,34*,38*,39,42,36,36,33,45,40,45,32,29
2017/04/07,松山,PM2.5,28,37,46,50,52,45,41,33,25,28,24,29,48,53,45,41,36,40,44,47,45,40,46,43
2017/04/08,松山,PM2.5,38,30,27,32,30,34,30,38,38,45,43,44,35,36,40,54,54,49,42,36,42,38,49,35
2017/04/09,松山,PM2.5,41,33,40,35,37,33,35,34,35,36,40,39,36,36,42,47,46,42,41,38,40,35,43,41
2017/04/10,松山,PM2.5,37,34,29,33,25,28,25,27*,25,23,22,27,20,-3#,79*,72*,77*,18,23,22,19,19,18,18
2017/04/11,松山,PM2.5,16,19,19,19,21,17,14,18,14,15,2,15,14,14,10,7,18,17*,24*,21,19,17,14,17
2017/04/12,松山,PM2.5,21,23,18,12,9,14,14,13,12,12,11,6,14,14,21,23,29,32,32,40,44,43,41,42
2017/04/13,松山,PM2.5,53,42,52,36,40,23,24,19,10,5,9,11,20,,23,21,13,13,15,16,14,18,15,17
2017/04/14,松山,PM2.5,19,21,17,13,17*,14,18,14,17,14,22,27,26,23,21,30,25,28,27,36,36,30,28,19
2017/04/15,松山,PM2.5,27,15,23,13,14,8,14,15,22,23,31,40,41,49,43,50,40,40,34,41,37,41,42,47
2017/04/16,松山,PM2.5,36,26,16,18,14,12,17,20,22,35,44,48*,41*,36*,36*,28,22,21*,24*,27*,27,27,24,23
2017/04/17,松山,PM2.5,19*,14,14,14,16,12,16*,19,21,26,28,31,25,21,18,20,26,25,21,25,24,22,18,19
2017/04/18,松山,PM2.5,19,20,20,16,14,16,19,23,17,24,25,32,24,20,15,28,36,40,35,37,48,48,49,42
2017/04/19,松山,PM2.5,42,37,35,39,34,35,30,27,34,-3#,54,53,45*,34*,20*,7,4,3,13,14,21,15,19,29
2017/04/20,松山,PM2.5,34,40,35,34,20,24,24,32,26,26,23,24,28,28,26,19,26,22,24,17,19,22,23,24
2017/04/21,松山,PM2.5,14,13,12,22,23,18,16,13,23,23,26,24,-3#,19,21,16,24,30,31,23,14,10,12,10
2017/04/22,松山,PM2.5,13,10,8,10,14,16,14,15,19,23,19,18,10,12,22,28,30,39,37,32,29,27,71*,56
2017/04/23,松山,PM2.5,51,7,15,22,16,21,19,21,10,14,15,16,19,12,21,14,20,12,19,23,23,24,18,19
2017/04/24,松山,PM2.5,14,16,16,22,21,24,18,20,20,27,33,34,32,27,30,26,35,28,28,24,27,25,27,21
2017/04/25,松山,PM2.5,17,6,6,14,17,18,12,23,16,31,27,37,31,-3#,34,41,42,40,38,38,42,36,31,38
2017/04/26,松山,PM2.5,39,40,34,29,30,25,34,31,31,27,33,45,55,31,23,33,27,19,12,5,3,1,6,10
2017/04/27,松山,PM2.5,10,8,3,8,8,14,11,12,8,8,13,14,21,14,16,12,17,11,20,14,15,12,12,6
2017/04/28,松山,PM2.5,6,14,19,11,11,10,15,15,22,23,17,16,14,14,10,9,13,17,14,17,18,20,19,15
2017/04/29,松山,PM2.5,16,10,3,3,7,21,18,25,17,20,14,11,13,13,14,9,9,9,14,14,10,12,12,25
2017/04/30,松山,PM2.5,14,17,14,14,16,7,11,13,15,23,27,28,35,28,30,29,28,31*,17,21,16,21,13,12
2017/05/01,松山,PM2.5,14,14,13,8,15,17*,19*,15,21,25,32,30,32,26,26,22,18,20,23,22,18,9,12,7
2017/05/02,松山,PM2.5,11,13,17,18*,12,12,12,16*,16*,21*,21,16,18,15,25,19,27,23,27,24,23,16,12,14
2017/05/03,松山,PM2.5,24,22,21,14,18,15,16,19,22,26,27,-3#,43,43,40,40,40,38,34,29,34*,30*,27,30
2017/05/04,松山,PM2.5,28,27,17,21,20,18,17,18,24,27,38,38,36,57,54,55,44,44,39,39,29,36,30,27
2017/05/05,松山,PM2.5,15,19,17,20,18,17,10,14,29,40,41,37,41,41,44,39,39,37,41,37,34,28,28,33
2017/05/06,松山,PM2.5,33,36,31,33*,35*,31*,25,21,23,33,29,35,26,31,22,16,12,14,22*,23*,23*,25*,16,14
2017/05/07,松山,PM2.5,8,8,3,5,11,11,11,13,14,14,15,14,12,14,23,33,37,39,35,36,37,41,35,32
2017/05/08,松山,PM2.5,25,26,27,26,26,27,27,27,21,26,23,27,26,32,36,39,36,34,35,32,34,34,35,27
2017/05/09,松山,PM2.5,15,10,17,15,19,14,21,15,16,16,21*,16,-3#,21,14,19,11,15,17,19,24,17,21,14
2017/05/10,松山,PM2.5,16,6,9,9,10,14,13,17,13,17,18,16,16,30,32*,31*,14,7,13,14,11,10,11,17
2017/05/11,松山,PM2.5,14,11,8,9,10,9,8,10,17,20,31,32,39,37,34,38,27,31,26,33,30,28,30,26
2017/05/12,松山,PM2.5,22,18,21*,17,15,14,21*,14,22,,,,,,40,40,37,45*,40,37,33,36,30,26
2017/05/13,松山,PM2.5,14,16*,9,14,9,10,9,11,13,9,12,12,16*,12,11,9,14,14,16*,13,12,13,14,12
2017/05/14,松山,PM2.5,10,11,18,17,16,8,6,16,23,27*,14,16,15,23,23,22,20,20,23*,21*,14,14,8,13
2017/05/15,松山,PM2.5,10,13,15,12,16,10,12,7,13,16*,18*,18,13,16*,12,14,12,16,15,14,11,11,10,14
2017/05/16,松山,PM2.5,13,13,6,10,9,14,12,10,9,4,10,4,4,4,8,10,7,10,8,8,3,9,8,12
2017/05/17,松山,PM2.5,5,5,4,4,2,2,4,7,9,6,11,15,17,-3#,41*,24,18,14,14,22,16,17,12,9
2017/05/18,松山,PM2.5,14,16,19,17,11,10,4,8,18*,18,18,14,19,9,6,11,14,19,16,21,26,32,22,19
2017/05/19,松山,PM2.5,17,18,12,9,19,22,27,25,32,28,20,16,14,13,15,13,23,21,25,22,16,20*,16*,14
2017/05/20,松山,PM2.5,13,15,21*,17,14,11,7,17*,18,24,14,16,9,17,19,23,15,15,21,41,60,59,32,6
2017/05/21,松山,PM2.5,4,4,6,2,3,7,7,11,4,7,10,15,12,13,10,19,13,12,8,14,14,9,10,12
2017/05/22,松山,PM2.5,12,4,1,1,1,9,9,9,4,6,8,10,12,8,14,10,12,11,15,15,8,10,5,14
2017/05/23,松山,PM2.5,7,13,3,8,4,2,5,7,12,14,25,29,29,25,19,22,24,44,40,40,27,29,26,18
2017/05/24,松山,PM2.5,9,16,15,21,12,11,7,18,18,24,17,20,24,21,31*,22,17,5,4,5,10,7,12,8
2017/05/25,松山,PM2.5,9,12,17,14,13,14,17,15,11,18,12,23,16,23,11,15,18,21,19,15,13,8,10,10
2017/05/26,松山,PM2.5,10,8,12,14,14,11,9,13,19,15,10,10,10,-3#,22,14,14,12,14,14,7,4,9,10
2017/05/27,松山,PM2.5,12,5,4,6,4,11,6,9,7,11,10,12,9,9,12,20*,15,15,18,19,18,16,15,22*
2017/05/28,松山,PM2.5,20,20,14,7,14,12,13,5,2,7,10,14,10,8,8,10,10,9,10,9,9,8,9,13
2017/05/29,松山,PM2.5,9,9,10,14,17,15,16,18,20,18,17,12,15,14,15,7,7,5,13,11,12,3,11,5
2017/05/30,松山,PM2.5,12,6,15,9,7,3,8,9,5,7,12,15,22,19,22,14,16*,14,12,7,6,4,3,1
2017/05/31,松山,PM2.5,3,6,4,6,2,2,1,10,23,38,36,34,24,-3#,25,16,18,15,22,18,22,14,19,14
2017/06/01,松山,PM2.5,15,9,3,10,14,18,14,10,16,19,26,23,26,7,2,9,14,12,10,11,11,16*,19*,22*
2017/06/02,松山,PM2.5,20*,15,16,13,9,9,4,2,1,1,9,23*,21,16,11,11,9,6,14,10,7,4,4,2
2017/06/03,松山,PM2.5,1,1,1,1,2,2,3,7,11,9,5,12,11,15,15,17*,14,4,7,9,13,9,4,1
2017/06/04,松山,PM2.5,7,12,14,6,7,5,10,6,9,7,11,12,14,14,18,23,17,19*,12,14,11,14,14,14
2017/06/05,松山,PM2.5,15,14,19,14,26,20,28,24,21,27,20,25,24,31,28,31,22,28,21,23,18,15,23,20
2017/06/06,松山,PM2.5,19,11,14,14,13,4,1,10,16,27,32,40,37,35,30,33,31,33,29,31,31,32,31,25
2017/06/07,松山,PM2.5,19,14,17,18*,14,6,5,8,17,18,23,29,27,25,24,27,26,16,21,23,26,27*,25,24
2017/06/08,松山,PM2.5,18,17,14,9,9,8,11,20,23,27,18,22,27,27,28,24,30,31,33,29,30,29,28,22
2017/06/09,松山,PM2.5,19,12,17,11,15,12,15,12,14,27,40,43,41,33,35,31,30,32,33,41,36,35,37,37
2017/06/10,松山,PM2.5,33,21,12,8,12,15,13,15,20,21,26,27,34,24,31,27,34,28,30,25,22,20,22,26
2017/06/11,松山,PM2.5,22,21,13,17,16,18,12,14,16,27,24,23,20,25*,28*,26,14,6,4,12,13,14,10,11
2017/06/12,松山,PM2.5,8,10,7,7,7,5,8,5,9,13,14,21,23,27,25,19,19,12,12,5,8,4,8,5
2017/06/13,松山,PM2.5,10,3,7,3,3,1,1,5,11,9,15,14,17,13,14,11,11,14,11,12,11,17,18,11
2017/06/14,松山,PM2.5,6,2,5,8,11,9,14,16,19,14,11,13,14,10,6,1,2,7,9,12,13,10,5,1
2017/06/15,松山,PM2.5,1,10,11,12,2,1,1,3,14,16,16*,7,10,-3#,7,6,6,5,6,3,1,3,7,7
2017/06/16,松山,PM2.5,6,1,1,3,5,6,1,4,5,12,18*,22,14,12,9,11,5,5,6,4,7,9,11,13
2017/06/17,松山,PM2.5,11,12,6,5,4,1,1,4,4,10,9,14,12,8,12,5,9,1,6,5,9,5,3,4
2017/06/18,松山,PM2.5,2,2,2,5,10,7,9,10,7,8,8,11,8,2,1,4,8,7,14,13,24*,15,15,6
2017/06/19,松山,PM2.5,6,1,1,4,8,14,6,12,6,10,6,18,17,27,15,-3#,10,15,14,17,18,17,8,3
2017/06/20,松山,PM2.5,4,7,9,4,1,1,4,6,10,10,11,14,8,8,6,15,17,21,18,23,18,19,17,18
2017/06/21,松山,PM2.5,14,9,8,14,15,12,15,10,16,10,11,15,20*,27*,18,22,29*,33*,26,17,14,19,15,16*
2017/06/22,松山,PM2.5,13,14,6,10,14,13,12,18,19,24,,17,27,22,26,26,26,23,18,18,22,26,26,18
2017/06/23,松山,PM2.5,13,11,13,18,14,14,7,12,12,18,22*,20,27*,25,23,21,20,26,19,13,14,7,13,17*
2017/06/24,松山,PM2.5,18*,17,6,7,9,10,14,14,14,14,15,14,14,16,21,26,16,17,14,14,14,12,9,9
2017/06/25,松山,PM2.5,3,7,1,7,9,9,1,2,9,11,12,7,14,16,18,20,19,20*,16*,9,12,10,15,9
2017/06/26,松山,PM2.5,22,16,17,3,4,2,4,8,8,5,9,9,17,16,23,17,26,30,33,22,16,14,13,16
2017/06/27,松山,PM2.5,11,9,4,10,8,6,1,13,16,16,12,14,20*,17,22,17,18,16,14,14,5,12,14,13
2017/06/28,松山,PM2.5,11,5,4,5,5,5,1,4,15,21*,25*,26,31,33*,,,34,32,26,23,27,23,14,8
2017/06/29,松山,PM2.5,8,8,7,15,25,18,18,14,27,32,42*,45*,46,41,41,37,39,34,35,33,28*,25,23,23
